Fecha,Descripción,Valor,Saldo
2022/01/29,NOTA CREDITO RECAUDOS REF 6203 MARGARITAS,"$388,200.00","$720,332,750.70"
2022/01/30,CREDITO RECAUDOS REDATH REF 00000012503 B Pop TECNOLOGICOA,"$580,000.00","$720,412,750.70"
2022/01/30,CREDITO RECAUDOS RED ATH REF 00000012823,"$80,300.00","$720,493,050.70"
2022/01/30,CREDITO RECAUDOS RED ATH REF 00000015303,"$88,000.00","$720,581,050.70"
2022/01/30,CREDITO RECAUDOS RED ATH REF 00000006102,"$200,000.00","$720,781,050.70"
2022/01/31,CREDITO RECAUDOS RED ATH REF 00000008202,"$78,000.00","$720,859,050.70"
2022/02/02,CRED VENTAS PSE CICLO 03,"$165,000.00","$721,024,050.70"
2022/02/02,CRED VENTAS PSE CICLO 04,"$226,100.00","$721,250,150.70"
2022/02/02,CRED VENTAS PSE CICLO 01,"$1,358,050.00","$722,608,200.70"
2022/02/02,CRED VENTAS PSE CICLO 05,"$290,200.00","$722,898,400.70"
2022/02/02,CRED VENTAS PSE CICLO 02,"$550,600.00","$723,449,000.70"
2022/02/02,CRE TRANSF INTERNET 000160096673 BANCO DE BOGOTA,"$128,000.00","$723,577,000.70"
2022/02/02,NOTA CREDITO RECAUDOS REF 2203 AVENIDA COLON,"$400,000.00","$723,977,000.70"
2022/02/02,NOTA CREDITO RECAUDOS REF 4402 PORGUNCULA,"$70,200.00","$724,047,200.70"
2022/02/02,NOTA CREDITO RECAUDOS REF 18301 UNICENTRO,"$90,200.00","$724,137,400.70"
2022/02/02,CREDITO RECAUDOS RED ATH REF 00000000303,"$81,000.00","$724,218,400.70"
2022/02/02,NOTA CREDITO RECAUDOS REF 15603 CTRO CCIA. MERCURIO,"$80,000.00","$724,298,400.70"
2022/02/02,NOTA CREDITO RECAUDOS REF 9204 CTRO CCIAL MERCURIO,"$80,000.00","$724,378,400.70"
2022/02/02,NOTA CREDITO RECAUDOS REF 7402 CTROCCIAL MERCURIO,"$78,000.00","$724,456,400.70"
2022/02/02,CREDITO RECAUDOS RED ATH REF 00000013101,"$80,000.00","$724,536,400.70"
2022/02/02,NOTA CREDITO RECAUDOS REF 7602 CHIQUINQUIRA,"$128,000.00","$724,664,400.70"
2022/02/02,COMISION SERVICIO RECAUDO 00000000,"$588,000.00","$724,655,300.70"
2022/02/02,COMISION POR RECAUDO ELECTRONICO 00000000,"$388,600.00","$724,653,700.70"
